uncanny_path,nearest_conventional_path,nearest_conventional_dist,nearest_unconventional_path,nearest_unconventional_dist,nearest_group
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,C:\Users\maryc\Downloads\881project\conventionalfaces\human_187.png,30.09014,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (2).jpg,29.412355,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,C:\Users\maryc\Downloads\881project\conventionalfaces\human_83.png,30.140308,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (1).jpg,31.573492,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,C:\Users\maryc\Downloads\881project\conventionalfaces\human_63.png,36.440804,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (11).jpg,35.225662,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,C:\Users\maryc\Downloads\881project\conventionalfaces\human_109.png,29.075716,C:\Users\maryc\Downloads\881project\unconventionalfaces\ts-rich-190.jpg,28.804157,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,C:\Users\maryc\Downloads\881project\conventionalfaces\human_83.png,28.52816,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (3).jpg,29.170918,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,C:\Users\maryc\Downloads\881project\conventionalfaces\human_83.png,26.34145,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (2).jpg,28.36596,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,C:\Users\maryc\Downloads\881project\conventionalfaces\human_83.png,27.538221,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (6).jpg,27.669258,human_conventional
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,C:\Users\maryc\Downloads\881project\conventionalfaces\human_187.png,28.399164,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (6).jpg,27.439333,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,C:\Users\maryc\Downloads\881project\conventionalfaces\human_71.png,29.724812,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (6).jpg,29.454903,human_unconventional
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,C:\Users\maryc\Downloads\881project\conventionalfaces\human_109.png,29.143185,C:\Users\maryc\Downloads\881project\unconventionalfaces\ts-rich-190.jpg,29.697466,human_conventional
